 metering-label-rule-id,statusCode,scenario
a3d92f41-94a4-4366-890e-2e54744d004f,204,204 response
f4c34b6f-80a1-4611-b478-4c4c449695e5,204,204 response
6202e261-7962-4567-b819-a29f3a47d8e4,204,204 response
3d07459d-5990-4b3f-8223-5e157373818e,204,204 response
69452792-0708-4600-86d6-854b1a9265f1,204,204 response
349781c6-364f-4658-b90a-a60c951588e8,204,204 response
71960598-d524-4551-81e9-c6d2e74f48f4,204,204 response
e8e0923b-720d-4d60-9f0e-62f906f54049,204,204 response
47921503-c174-466e-b71f-c75450224d2a,204,204 response
c888481c-0623-475e-8079-4a31596b9155,204,204 response